sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,total_marks,percentage_increase
1,1,67.0,1,91.0,Others,1,58.0,2,0,55.0,1,58.8,1,270000.0,329.8,35.82089552238806
2,1,79.33,0,78.33,Others,2,77.48,2,1,86.5,0,66.28,1,200000.0,387.91999999999996,-1.2605571662674901
3,1,65.0,0,68.0,Central,0,64.0,0,0,75.0,0,57.8,1,250000.0,329.8,4.615384615384616
4,1,56.0,0,52.0,Central,2,52.0,2,0,66.0,1,59.43,0,0.0,285.43,-7.142857142857142
5,1,85.8,0,73.6,Central,1,73.3,0,0,96.8,0,55.5,1,425000.0,385.0,-14.219114219114223
6,1,55.0,1,49.8,Others,2,67.25,2,1,55.0,0,51.58,0,0.0,278.63,-9.45454545454546
7,0,46.0,1,49.2,Others,1,79.0,0,0,74.28,0,53.29,0,0.0,301.77,6.956521739130441
8,1,82.0,0,64.0,Central,2,66.0,2,1,67.0,0,62.14,1,252000.0,341.14,-21.951219512195124
9,1,73.0,0,79.0,Central,1,72.0,0,0,91.34,0,61.29,1,231000.0,376.63000000000005,8.21917808219178
10,1,58.0,0,70.0,Central,1,61.0,0,0,54.0,0,52.21,0,0.0,295.21,20.689655172413794
11,1,58.0,0,61.0,Central,1,60.0,0,1,62.0,1,60.85,1,260000.0,301.85,5.172413793103448
12,1,69.6,0,68.4,Central,1,78.3,0,1,60.0,0,63.7,1,250000.0,340.0,-1.7241379310344664
13,0,47.0,0,55.0,Others,2,65.0,0,0,62.0,1,65.04,0,0.0,294.04,17.02127659574468
14,0,77.0,0,87.0,Central,1,59.0,0,0,68.0,0,68.63,1,218000.0,359.63,12.987012987012985
15,1,62.0,0,47.0,Central,1,50.0,0,0,76.0,1,54.96,0,0.0,289.96,-24.193548387096776
16,0,65.0,0,75.0,Central,1,69.0,0,1,72.0,0,64.66,1,200000.0,345.65999999999997,15.384615384615385
17,1,63.0,0,66.2,Central,1,65.6,0,1,60.0,0,62.54,1,300000.0,317.34,5.079365079365084
18,0,55.0,0,67.0,Central,1,64.0,0,0,60.0,0,67.28,0,0.0,313.28,21.818181818181817
19,0,63.0,0,66.0,Central,1,64.0,0,0,68.0,1,64.08,0,0.0,325.08,4.761904761904762
20,1,60.0,1,67.0,Others,0,70.0,0,1,50.48,0,77.89,1,236000.0,325.37,11.666666666666666
21,1,62.0,1,65.0,Others,1,66.0,0,0,50.0,1,56.7,1,265000.0,299.7,4.838709677419355
22,0,79.0,1,76.0,Others,1,85.0,0,0,95.0,0,69.06,1,393000.0,404.06,-3.79746835443038
23,0,69.8,1,60.8,Others,2,72.23,2,0,55.53,1,68.81,1,360000.0,327.17,-12.893982808022923
24,0,77.4,1,60.0,Others,2,64.74,2,1,92.0,0,63.62,1,300000.0,357.76,-22.480620155038768
25,1,76.5,1,97.7,Others,2,78.86,2,0,97.4,0,74.01,1,360000.0,424.47,27.712418300653596
26,0,52.58,1,54.6,Central,1,50.2,0,1,76.0,0,65.33,0,0.0,298.71,3.8417649296310445
27,1,71.0,1,79.0,Others,1,66.0,0,1,94.0,0,57.55,1,240000.0,367.55,11.267605633802818
28,1,63.0,1,67.0,Others,1,66.0,0,0,68.0,1,57.69,1,265000.0,321.69,6.349206349206349
29,1,76.76,1,76.5,Others,1,67.5,0,1,73.35,0,64.15,1,350000.0,358.26,-0.3387180823345559
30,1,62.0,0,67.0,Central,1,58.0,0,0,77.0,0,51.29,0,0.0,315.29,8.064516129032258
31,0,64.0,0,73.5,Central,1,73.0,0,0,52.0,1,56.7,1,250000.0,319.2,14.84375
32,0,67.0,0,53.0,Central,2,65.0,2,0,64.0,1,58.32,0,0.0,307.32,-20.8955223880597
33,0,61.0,0,81.0,Central,1,66.4,0,0,50.89,1,62.21,1,278000.0,321.5,32.78688524590164
34,0,87.0,1,65.0,Others,2,81.0,0,1,88.0,0,72.78,1,260000.0,393.78,-25.287356321839084
35,1,62.0,1,51.0,Others,2,52.0,1,0,68.44,1,62.77,0,0.0,296.21,-17.741935483870968
36,0,69.0,0,78.0,Central,1,72.0,0,0,71.0,1,62.74,1,300000.0,352.74,13.043478260869565
37,1,51.0,0,44.0,Central,1,57.0,0,0,64.0,0,51.45,0,0.0,267.45,-13.725490196078432
38,0,79.0,0,76.0,Central,2,65.6,2,0,58.0,1,55.47,1,320000.0,334.07000000000005,-3.79746835443038
39,0,73.0,1,58.0,Others,2,66.0,0,0,53.7,1,56.86,1,240000.0,307.56,-20.54794520547945
40,1,81.0,1,68.0,Others,2,64.0,2,0,93.0,0,62.56,1,411000.0,368.56,-16.049382716049383
41,0,78.0,0,77.0,Others,1,80.0,0,0,60.0,0,66.72,1,287000.0,361.72,-1.282051282051282
42,0,74.0,1,63.16,Others,1,65.0,0,1,65.0,1,69.76,0,0.0,336.91999999999996,-14.648648648648654
43,1,49.0,1,39.0,Central,2,65.0,1,0,63.0,0,51.21,0,0.0,267.21,-20.408163265306122
